Time,Grid_frequency,Demand_power,Active_power,Power Control Index
2024-05-03 18:00:19,60.0,0.0,0.0,0.0
2024-05-03 18:00:19,60.01,-2.2,-2.3,99.0
2024-05-03 18:00:20,59.99,-2.2,-2.3,99.0
2024-05-03 18:00:21,60.0,-2.2,-2.3,99.0
2024-05-03 18:00:22,60.0,-2.2,-2.3,99.0
2024-05-03 18:00:23,60.02,-2.2,-2.3,99.0
2024-05-03 18:00:24,59.98,-2.2,-2.3,99.0
2024-05-03 18:00:25,59.99,-2.2,-2.3,99.0
2024-05-03 18:00:26,59.98,-2.3,-2.5,98.0
2024-05-03 18:00:27,60.0,-2.3,-2.5,98.0
2024-05-03 18:00:28,59.99,-2.3,-2.4,99.0
2024-05-03 18:00:29,60.0,-2.3,-2.5,98.0
2024-05-03 18:00:30,59.98,-2.3,-2.5,98.0
2024-05-03 18:00:31,59.98,-2.3,-2.4,99.0
2024-05-03 18:00:32,60.02,-2.3,-2.4,99.0
2024-05-03 18:00:33,60.0,-2.3,-2.3,100.0
2024-05-03 18:00:34,60.02,-2.3,-2.5,98.0
2024-05-03 18:00:35,59.98,-2.4,-2.6,98.0
2024-05-03 18:00:36,60.0,-2.4,-2.6,98.0
2024-05-03 18:00:37,60.01,-2.4,-2.6,98.0
2024-05-03 18:00:38,60.02,-2.4,-2.6,98.0
2024-05-03 18:00:39,60.0,-2.4,-2.6,98.0
2024-05-03 18:00:40,59.99,-2.4,-2.6,98.0
2024-05-03 18:00:41,59.99,-2.4,-2.6,98.0
2024-05-03 18:00:42,59.99,-2.4,-2.6,98.0
2024-05-03 18:00:43,60.02,-2.4,-2.6,98.0
2024-05-03 18:00:44,60.01,-2.4,-2.6,98.0
2024-05-03 18:00:45,60.0,-2.5,-2.6,99.0
2024-05-03 18:00:46,60.01,-2.5,-2.6,99.0
2024-05-03 18:00:47,59.99,-2.5,-2.6,99.0
2024-05-03 18:00:48,59.99,-2.5,-2.6,99.0
2024-05-03 18:00:49,59.99,-2.5,-2.6,99.0
2024-05-03 18:00:50,60.01,-2.5,-2.6,99.0
2024-05-03 18:00:51,60.01,-2.5,-2.6,99.0
2024-05-03 18:00:52,60.01,-2.5,-2.6,99.0
2024-05-03 18:00:53,60.0,-2.5,-2.6,99.0
2024-05-03 18:00:54,60.0,-2.5,-2.6,99.0
2024-05-03 18:00:55,59.99,-2.5,-2.6,99.0
2024-05-03 18:00:56,60.0,-2.6,-2.8,98.0
2024-05-03 18:00:57,59.99,-2.6,-2.7,99.0
2024-05-03 18:00:58,60.01,-2.6,-2.7,99.0
2024-05-03 18:00:59,60.0,-2.6,-2.8,98.0
2024-05-03 18:01:00,59.99,-2.6,-2.7,99.0
2024-05-03 18:01:01,60.0,-2.6,-2.8,98.0
2024-05-03 18:01:02,60.02,-2.6,-2.8,98.0
2024-05-03 18:01:03,60.02,-2.6,-2.7,99.0
2024-05-03 18:01:04,59.99,-2.6,-2.8,98.0
2024-05-03 18:01:05,60.01,-2.6,-2.8,98.0
2024-05-03 18:01:06,59.99,-2.7,-2.9,98.0
2024-05-03 18:01:07,60.02,-2.7,-2.9,98.0
2024-05-03 18:01:08,60.02,-2.7,-2.9,98.0
2024-05-03 18:01:09,59.99,-2.7,-2.9,98.0
2024-05-03 18:01:10,60.01,-2.7,-2.9,98.0
2024-05-03 18:01:11,59.98,-2.7,-2.9,98.0
2024-05-03 18:01:12,60.01,-2.7,-2.9,98.0
2024-05-03 18:01:13,60.0,-2.7,-2.9,98.0
2024-05-03 18:01:14,59.99,-2.7,-2.9,98.0
2024-05-03 18:01:15,59.99,-2.8,-2.9,99.0
2024-05-03 18:01:16,60.0,-2.8,-2.9,99.0
2024-05-03 18:01:17,59.98,-2.8,-2.9,99.0
2024-05-03 18:01:18,59.89,-0.9,-1.1,98.0
2024-05-03 18:01:19,59.88,-0.7,-0.8,99.0
2024-05-03 18:01:20,59.93,-1.8,-2.0,98.0
2024-05-03 18:01:21,59.96,-2.4,-2.6,98.0
2024-05-03 18:01:22,59.91,-1.4,-1.5,99.0
2024-05-03 18:01:23,59.86,-0.3,-0.5,98.0
2024-05-03 18:01:24,59.88,-0.8,-0.9,99.0
2024-05-03 18:01:25,59.94,-2.0,-2.1,99.0
2024-05-03 18:01:26,59.98,-2.9,-3.0,99.0
2024-05-03 18:01:27,59.96,-2.5,-2.6,99.0
2024-05-03 18:01:28,59.89,-1.0,-1.1,99.0
2024-05-03 18:01:29,59.96,-2.5,-2.6,99.0
2024-05-03 18:01:30,59.93,-1.9,-2.1,98.0
2024-05-03 18:01:31,59.87,-0.6,-0.8,98.0
2024-05-03 18:01:32,59.9,-1.3,-1.4,99.0
2024-05-03 18:01:33,59.97,-2.7,-2.9,98.0
2024-05-03 18:01:34,59.93,-1.9,-2.1,98.0
2024-05-03 18:01:35,59.95,-2.3,-2.5,98.0
2024-05-03 18:01:36,59.89,-1.1,-1.2,99.0
2024-05-03 18:01:37,59.85,-0.3,-0.5,98.0
2024-05-03 18:01:38,59.95,-2.4,-2.6,98.0
2024-05-03 18:01:39,59.87,-0.7,-0.8,99.0
2024-05-03 18:01:40,59.88,-0.9,-1.1,98.0
2024-05-03 18:01:41,59.89,-1.1,-1.3,98.0
2024-05-03 18:01:42,59.86,-0.5,-0.7,98.0
2024-05-03 18:01:43,59.94,-2.2,-2.4,98.0
2024-05-03 18:01:44,59.86,-0.5,-0.6,99.0
2024-05-03 18:01:45,59.91,-1.6,-1.8,98.0
2024-05-03 18:01:46,59.96,-2.6,-2.7,99.0
2024-05-03 18:01:47,59.91,-1.6,-1.7,99.0
2024-05-03 18:01:48,59.94,-2.2,-2.3,99.0
2024-05-03 18:01:49,59.9,-1.4,-1.6,98.0
2024-05-03 18:01:50,59.9,-1.4,-1.5,99.0
2024-05-03 18:01:51,59.9,-1.4,-1.5,99.0
2024-05-03 18:01:52,59.88,-1.0,-1.2,98.0
2024-05-03 18:01:53,59.96,-2.7,-2.9,98.0
2024-05-03 18:01:54,59.97,-2.9,-3.1,98.0
2024-05-03 18:01:55,59.87,-0.9,-1.1,98.0
2024-05-03 18:01:56,59.96,-2.7,-2.9,98.0
2024-05-03 18:01:57,59.9,-1.5,-1.7,98.0
2024-05-03 18:01:58,59.9,-1.5,-1.7,98.0
2024-05-03 18:01:59,59.9,-1.5,-1.7,98.0
